ID,Country,area_km2
CR225200,Brazil,"3034"
CR225201,Brazil,"3029"
CR225202,Brazil,"757"
CR226176,Brazil,"256"
CR226177,Brazil,"2136"
CR226178,Brazil,"2735"
CR226179,Brazil,"3077"
CR226180,Brazil,"2735"
CR226181,Brazil,"2992"
CR226182,Brazil,"3077"
CR226183,Brazil,"3077"
CR226184,Brazil,"2990"
CR226185,Brazil,"3075"
CR226186,Brazil,"2732"
CR226187,Brazil,"3072"
CR226188,Brazil,"3071"
CR226189,Brazil,"3069"
CR226190,Brazil,"3067"
CR226191,Brazil,"3065"
CR226192,Brazil,"3062"
CR226193,Brazil,"3059"
CR226194,Brazil,"3056"
CR226195,Brazil,"3053"
CR226196,Brazil,"3050"
CR226197,Brazil,"3046"
CR226198,Brazil,"3042"
CR226199,Brazil,"3038"
CR226200,Brazil,"3034"
CR226201,Brazil,"1936"
CR227178,Brazil,"684"
CR227179,Brazil,"2992"
CR227180,Brazil,"3077"
CR227181,Brazil,"2735"
CR227182,Brazil,"3077"
CR227183,Brazil,"3077"
CR227184,Brazil,"2990"
CR227185,Brazil,"3075"
CR227186,Brazil,"2561"
CR227187,Brazil,"3072"
CR227188,Brazil,"3071"
CR227189,Brazil,"3069"
CR227190,Brazil,"3067"
CR227191,Brazil,"3065"
CR227192,Brazil,"3062"
CR227193,Brazil,"3059"
CR227194,Brazil,"3056"
CR227195,Brazil,"3053"
CR227196,Brazil,"3050"
CR227197,Brazil,"3046"
CR227198,Brazil,"3042"
CR227199,Brazil,"3038"
CR227200,Brazil,"2866"
CR227201,Brazil,"253"
CR228179,Brazil,"1795"
CR228180,Brazil,"3077"
CR228181,Brazil,"2992"
CR228182,Brazil,"3077"
CR228183,Brazil,"3077"
CR228184,Brazil,"2820"
CR228185,Brazil,"2990"
CR228186,Brazil,"2732"
CR228187,Brazil,"3072"
CR228188,Brazil,"3071"
CR228189,Brazil,"3069"
CR228190,Brazil,"3067"
CR228191,Brazil,"3065"
CR228192,Brazil,"3062"
CR228193,Brazil,"3059"
CR228194,Brazil,"3056"
CR228195,Brazil,"3053"
CR228196,Brazil,"3050"
CR228197,Brazil,"3046"
CR228198,Brazil,"3042"
CR228199,Brazil,"3038"
CR228200,Brazil,"1855"
CR229179,Brazil,"2650"
CR229180,Brazil,"3077"
CR229181,Brazil,"2906"
CR229182,Brazil,"3077"
CR229183,Brazil,"2906"
CR229184,Brazil,"2820"
CR229185,Brazil,"3075"
CR229186,Brazil,"2732"
CR229187,Brazil,"3072"
CR229188,Brazil,"3071"
CR229189,Brazil,"3069"
CR229190,Brazil,"3067"
CR229191,Brazil,"3065"
CR229192,Brazil,"3062"
CR229193,Brazil,"3059"
CR229194,Brazil,"3056"
CR229195,Brazil,"3053"
CR229196,Brazil,"3050"
CR229197,Brazil,"3046"
CR229198,Brazil,"3042"
CR229199,Brazil,"3038"
CR229200,Brazil,"1686"
CR230178,Brazil,"342"
CR230179,Brazil,"2393"
CR230180,Brazil,"3077"
CR230181,Brazil,"2735"
CR230182,Brazil,"3077"
CR230183,Brazil,"3077"
CR230184,Brazil,"2392"
CR230185,Brazil,"2733"
CR230186,Brazil,"2476"
CR230187,Brazil,"2987"
CR230188,Brazil,"3071"
CR230189,Brazil,"3069"
CR230190,Brazil,"3067"
CR230191,Brazil,"3065"
CR230192,Brazil,"3062"
CR230193,Brazil,"3059"
CR230194,Brazil,"3056"
CR230195,Brazil,"3053"
CR230196,Brazil,"3050"
CR230197,Brazil,"3046"
CR230198,Brazil,"3042"
CR230199,Brazil,"3038"
CR230200,Brazil,"2276"
CR230201,Brazil,"2104"
CR230202,Brazil,"2269"
CR230203,Brazil,"2181"
CR230204,Brazil,"586"
CR231172,Brazil,"426"
CR231173,Brazil,"171"
CR231178,Brazil,"1709"
CR231179,Brazil,"3077"
CR231180,Brazil,"3077"
CR231181,Brazil,"2564"
CR231182,Brazil,"2992"
CR231183,Brazil,"3077"
CR231184,Brazil,"3076"
CR231185,Brazil,"3075"
CR231186,Brazil,"2903"
CR231187,Brazil,"2304"
CR231188,Brazil,"2900"
CR231189,Brazil,"3069"
CR231190,Brazil,"3067"
CR231191,Brazil,"3065"
CR231192,Brazil,"3062"
CR231193,Brazil,"3059"
CR231194,Brazil,"3056"
CR231195,Brazil,"3053"
CR231196,Brazil,"3050"
CR231197,Brazil,"3046"
CR231198,Brazil,"3042"
CR231199,Brazil,"2870"
CR231200,Brazil,"2950"
CR231201,Brazil,"3029"
CR231202,Brazil,"3025"
CR231203,Brazil,"3020"
CR231204,Brazil,"3014"
CR231205,Brazil,"585"
CR232172,Brazil,"767"
CR232173,Brazil,"2132"
CR232174,Brazil,"1366"
CR232175,Brazil,"171"
CR232177,Brazil,"513"
CR232178,Brazil,"2991"
CR232179,Brazil,"3077"
CR232180,Brazil,"3077"
CR232181,Brazil,"2479"
CR232182,Brazil,"3077"
CR232183,Brazil,"3077"
CR232184,Brazil,"3076"
CR232185,Brazil,"3075"
CR232186,Brazil,"3074"
CR232187,Brazil,"3072"
CR232188,Brazil,"2474"
CR232189,Brazil,"3069"
CR232190,Brazil,"3067"
CR232191,Brazil,"3065"
CR232192,Brazil,"3062"
CR232193,Brazil,"3059"
CR232194,Brazil,"3056"
CR232195,Brazil,"3053"
CR232196,Brazil,"3050"
CR232197,Brazil,"3046"
CR232198,Brazil,"3042"
CR232199,Brazil,"2954"
CR232200,Brazil,"3034"
CR232201,Brazil,"3029"
CR232202,Brazil,"3025"
CR232203,Brazil,"3020"
CR232204,Brazil,"3014"
CR232205,Brazil,"2925"
CR233173,Brazil,"2474"
CR233174,Brazil,"3072"
CR233175,Brazil,"3074"
CR233176,Brazil,"598"
CR233177,Brazil,"3076"
CR233178,Brazil,"3077"
CR233179,Brazil,"3077"
CR233180,Brazil,"3077"
CR233181,Brazil,"2222"
CR233182,Brazil,"2992"
CR233183,Brazil,"3077"
CR233184,Brazil,"3076"
CR233185,Brazil,"3075"
CR233186,Brazil,"3074"
CR233187,Brazil,"3072"
CR233188,Brazil,"2559"
CR233189,Brazil,"2898"
CR233190,Brazil,"3067"
CR233191,Brazil,"3065"
CR233192,Brazil,"3062"
CR233193,Brazil,"3059"
CR233194,Brazil,"3056"
CR233195,Brazil,"3053"
CR233196,Brazil,"3050"
CR233197,Brazil,"3046"
CR233198,Brazil,"2958"
CR233199,Brazil,"3038"
CR233200,Brazil,"3034"
CR233201,Brazil,"3029"
CR233202,Brazil,"3025"
CR233203,Brazil,"3020"
CR233204,Brazil,"3014"
CR233205,Brazil,"2925"
CR233206,Brazil,"83"
CR234173,Brazil,"2133"
CR234174,Brazil,"3072"
CR234175,Brazil,"3074"
CR234176,Brazil,"2648"
CR234177,Brazil,"3076"
CR234178,Brazil,"3077"
CR234179,Brazil,"3077"
CR234180,Brazil,"3077"
CR234181,Brazil,"3077"
CR234182,Brazil,"2650"
CR234183,Brazil,"3077"
CR234184,Brazil,"3076"
CR234185,Brazil,"3075"
CR234186,Brazil,"3074"
CR234187,Brazil,"2987"
CR234188,Brazil,"2218"
CR234189,Brazil,"2387"
CR234190,Brazil,"3067"
CR234191,Brazil,"3065"
CR234192,Brazil,"3062"
CR234193,Brazil,"3059"
CR234194,Brazil,"3056"
CR234195,Brazil,"3053"
CR234196,Brazil,"3050"
CR234197,Brazil,"2877"
CR234198,Brazil,"3042"
CR234199,Brazil,"3038"
CR234200,Brazil,"3034"
CR234201,Brazil,"3029"
CR234202,Brazil,"3025"
CR234203,Brazil,"3020"
CR234204,Brazil,"3014"
CR234205,Brazil,"3009"
CR234206,Brazil,"1085"
CR235172,Brazil,"85"
CR235173,Brazil,"2047"
CR235174,Brazil,"3072"
CR235175,Brazil,"3074"
CR235176,Brazil,"3075"
CR235177,Brazil,"3076"
CR235178,Brazil,"3077"
CR235179,Brazil,"3077"
CR235180,Brazil,"3077"
CR235181,Brazil,"3077"
CR235182,Brazil,"2650"
CR235183,Brazil,"2649"
CR235184,Brazil,"3076"
CR235185,Brazil,"3075"
CR235186,Brazil,"3074"
CR235187,Brazil,"2646"
CR235188,Brazil,"2559"
CR235189,Brazil,"2984"
CR235190,Brazil,"3067"
CR235191,Brazil,"3065"
CR235192,Brazil,"3062"
CR235193,Brazil,"3059"
CR235194,Brazil,"2972"
CR235195,Brazil,"2884"
CR235196,Brazil,"2965"
CR235197,Brazil,"3046"
CR235198,Brazil,"3042"
CR235199,Brazil,"3038"
CR235200,Brazil,"3034"
CR235201,Brazil,"3029"
CR235202,Brazil,"3025"
CR235203,Brazil,"3020"
CR235204,Brazil,"3014"
CR235205,Brazil,"3009"
CR235206,Brazil,"2753"
CR235207,Brazil,"167"
CR236172,Brazil,"853"
CR236173,Brazil,"3071"
CR236174,Brazil,"3072"
CR236175,Brazil,"3074"
CR236176,Brazil,"3075"
CR236177,Brazil,"3076"
CR236178,Brazil,"3077"
CR236179,Brazil,"3077"
CR236180,Brazil,"3077"
CR236181,Brazil,"3077"
CR236182,Brazil,"3077"
CR236183,Brazil,"2136"
CR236184,Brazil,"3076"
CR236185,Brazil,"3075"
CR236186,Brazil,"3074"
CR236187,Brazil,"3072"
CR236188,Brazil,"2559"
CR236189,Brazil,"2984"
CR236190,Brazil,"3067"
CR236191,Brazil,"3065"
CR236192,Brazil,"3062"
CR236193,Brazil,"2974"
CR236194,Brazil,"3056"
CR236195,Brazil,"3053"
CR236196,Brazil,"3050"
CR236197,Brazil,"3046"
CR236198,Brazil,"3042"
CR236199,Brazil,"3038"
CR236200,Brazil,"3034"
CR236201,Brazil,"3029"
CR236202,Brazil,"3025"
CR236203,Brazil,"3020"
CR236204,Brazil,"3014"
CR236205,Brazil,"3009"
CR236206,Brazil,"3003"
CR236207,Brazil,"1000"
CR237172,Brazil,"1364"
CR237173,Brazil,"3071"
CR237174,Brazil,"3072"
CR237175,Brazil,"3074"
CR237176,Brazil,"3075"
CR237177,Brazil,"3076"
CR237178,Brazil,"3077"
CR237179,Brazil,"2992"
CR237180,Brazil,"2992"
CR237181,Brazil,"2564"
CR237182,Brazil,"2821"
CR237183,Brazil,"2307"
CR237184,Brazil,"2905"
CR237185,Brazil,"3075"
CR237186,Brazil,"3074"
CR237187,Brazil,"3072"
CR237188,Brazil,"2559"
CR237189,Brazil,"3069"
CR237190,Brazil,"3067"
CR237191,Brazil,"3065"
CR237192,Brazil,"3062"
CR237193,Brazil,"2974"
CR237194,Brazil,"3056"
CR237195,Brazil,"3053"
CR237196,Brazil,"3050"
CR237197,Brazil,"3046"
CR237198,Brazil,"3042"
CR237199,Brazil,"3038"
CR237200,Brazil,"3034"
CR237201,Brazil,"3029"
CR237202,Brazil,"3025"
CR237203,Brazil,"3020"
CR237204,Brazil,"3014"
CR237205,Brazil,"3009"
CR237206,Brazil,"3003"
CR237207,Brazil,"2831"
CR238172,Brazil,"2813"
CR238173,Brazil,"3071"
CR238174,Brazil,"3072"
CR238175,Brazil,"3074"
CR238176,Brazil,"3075"
CR238177,Brazil,"2990"
CR238178,Brazil,"2991"
CR238179,Brazil,"2821"
CR238180,Brazil,"3077"
CR238181,Brazil,"3077"
CR238182,Brazil,"3077"
CR238183,Brazil,"3077"
CR238184,Brazil,"2734"
CR238185,Brazil,"2477"
CR238186,Brazil,"2988"
CR238187,Brazil,"2646"
CR238188,Brazil,"2559"
CR238189,Brazil,"3069"
CR238190,Brazil,"3067"
CR238191,Brazil,"3065"
