"","ID","soyarea"
"1","CR213194",0
"2","CR213195",0
"3","CR213196",0
"4","CR213197",0
"5","CR214192",0
"6","CR214193",0
"7","CR214194",0
"8","CR214195",0
"9","CR214196",0
"10","CR214197",0
"11","CR214198",0
"12","CR214199",0
"13","CR215191",0
"14","CR215192",0
"15","CR215193",0
"16","CR215194",0
"17","CR215195",0
"18","CR215196",0
"19","CR215197",0
"20","CR215198",0
"21","CR215199",0
"22","CR216190",0
"23","CR216191",0
"24","CR216192",0
"25","CR216193",0
"26","CR216194",0
"27","CR216195",0
"28","CR216196",0
"29","CR216197",0
"30","CR216198",0
"31","CR216199",0
"32","CR216200",0
"33","CR217190",0
"34","CR217191",0
"35","CR217192",0
"36","CR217193",0
"37","CR217194",0
"38","CR217195",0
"39","CR217196",0
"40","CR217197",0
"41","CR217198",0
"42","CR217199",0
"43","CR217200",0
"44","CR218189",0
"45","CR218190",0
"46","CR218191",0
"47","CR218192",0
"48","CR218193",0
"49","CR218194",0
"50","CR218195",0
"51","CR218196",0
"52","CR218197",0
"53","CR218198",0
"54","CR218199",0
"55","CR218200",0
"56","CR219189",0
"57","CR219190",0
"58","CR219191",0
"59","CR219192",0
"60","CR219193",0
"61","CR219194",0
"62","CR219195",0
"63","CR219196",0
"64","CR219197",0
"65","CR219198",0
"66","CR219199",0
"67","CR219200",0
"68","CR219201",0
"69","CR219202",0
"70","CR220180",0
"71","CR220181",0
"72","CR220189",0
"73","CR220190",0
"74","CR220191",0
"75","CR220192",0
"76","CR220193",0
"77","CR220194",0
"78","CR220195",0
"79","CR220196",0
"80","CR220197",0
"81","CR220198",0
"82","CR220199",0
"83","CR220200",0
"84","CR220201",0
"85","CR220202",0
"86","CR220203",0
"87","CR221177",0
"88","CR221178",0
"89","CR221179",0
"90","CR221180",0
"91","CR221181",0
"92","CR221182",0
"93","CR221185",0
"94","CR221186",0
"95","CR221187",0
"96","CR221188",0
"97","CR221189",0
"98","CR221190",0
"99","CR221191",0
"100","CR221192",0
"101","CR221193",0
"102","CR221194",0
"103","CR221195",0
"104","CR221196",0
"105","CR221197",0
"106","CR221198",0
"107","CR221199",0
"108","CR221200",0
"109","CR221201",0
"110","CR221202",0
"111","CR222177",0
"112","CR222178",0
"113","CR222179",0
"114","CR222180",0
"115","CR222181",0
"116","CR222182",0
"117","CR222183",0
"118","CR222184",0
"119","CR222185",0
"120","CR222186",0
"121","CR222187",0
"122","CR222188",0
"123","CR222189",0
"124","CR222190",0
"125","CR222191",0
"126","CR222192",0
"127","CR222193",0
"128","CR222194",0
"129","CR222195",0
"130","CR222196",0
"131","CR222197",0
"132","CR222198",0
"133","CR222199",0
"134","CR222200",0
"135","CR222201",0
"136","CR222202",0
"137","CR223177",0
"138","CR223178",0
"139","CR223179",0
"140","CR223180",0
"141","CR223181",0
"142","CR223182",0
"143","CR223183",0
"144","CR223184",0
"145","CR223185",0
"146","CR223186",0
"147","CR223187",0
"148","CR223188",0
"149","CR223189",0
"150","CR223190",0
"151","CR223191",0
"152","CR223192",0
"153","CR223193",0
"154","CR223194",0
"155","CR223195",0
"156","CR223196",0
"157","CR223197",0
"158","CR223198",0
"159","CR223199",0
"160","CR223200",0
"161","CR223201",0
"162","CR223202",0
"163","CR223203",0
"164","CR224177",0
"165","CR224178",0
"166","CR224179",0
"167","CR224180",0
"168","CR224181",0
