"ID","Year","soyarea"
"CR221179","X2010",0
"CR221179","X2012",0
"CR221180","X2005",0
"CR221180","X2010",0
"CR221180","X2012",0
"CR221181","X2005",0
"CR221181","X2010",0
"CR221181","X2012",0
"CR221182","X2005",0
"CR221182","X2010",0
"CR221182","X2012",0
"CR221185","X2005",0
"CR221185","X2010",0
"CR221185","X2012",0
"CR221186","X2005",0
"CR221186","X2010",0
"CR221186","X2012",0
"CR221187","X2005",0
"CR221187","X2010",0
"CR221187","X2012",0
"CR221188","X2005",0
"CR221188","X2010",0
"CR221188","X2012",0
"CR221189","X2005",0
"CR221189","X2010",0
"CR221189","X2012",0
"CR221190","X2005",0
"CR221190","X2010",0
"CR221190","X2012",0
"CR221191","X2005",0
"CR221191","X2010",0
"CR221191","X2012",0
"CR221192","X2005",0
"CR221192","X2010",0
"CR221192","X2012",0
"CR221193","X2005",0
"CR221193","X2010",0
"CR221193","X2012",0
"CR221194","X2005",0
"CR221194","X2010",0
"CR221194","X2012",0
"CR221195","X2005",0
"CR221195","X2010",0
"CR221195","X2012",0
"CR221196","X2005",0
"CR221196","X2010",0
"CR221196","X2012",0
"CR221197","X2005",0
"CR221197","X2010",0
"CR221197","X2012",0
"CR221198","X2005",0
"CR221198","X2010",0
"CR221198","X2012",0
"CR221199","X2005",0
"CR221199","X2010",0
"CR221199","X2012",0
"CR221200","X2005",0
"CR221200","X2010",0
"CR221200","X2012",0
"CR221201","X2005",0
"CR221201","X2010",0
"CR221201","X2012",0
"CR221202","X2005",0
"CR221202","X2010",0
"CR221202","X2012",0
"CR222177","X2005",0
"CR222177","X2010",0
"CR222177","X2012",0
"CR222178","X2005",0
"CR222178","X2010",0
"CR222178","X2012",0
"CR222179","X2005",0
"CR222179","X2010",0
"CR222179","X2012",0
"CR222180","X2005",0
"CR222180","X2010",0
"CR222180","X2012",0
"CR222181","X2005",0
"CR222181","X2010",0
"CR222181","X2012",0
"CR222182","X2005",0
"CR222182","X2010",0
"CR222182","X2012",0
"CR222183","X2005",0
"CR222183","X2010",0
"CR222183","X2012",0
"CR222184","X2005",0
"CR222184","X2010",0
"CR222184","X2012",0
"CR222185","X2005",0
"CR222185","X2010",0
"CR222185","X2012",0
"CR222186","X2005",0
"CR222186","X2010",0
"CR222186","X2012",0
"CR222187","X2005",0
"CR222187","X2010",0
"CR222187","X2012",0
"CR222188","X2005",0
"CR222188","X2010",0
"CR222188","X2012",0
"CR222189","X2005",0
"CR222189","X2010",0
"CR222189","X2012",0
"CR222190","X2005",0
"CR222190","X2010",0
"CR222190","X2012",0
"CR222191","X2005",0
"CR222191","X2010",0
"CR222191","X2012",0
"CR222192","X2005",0
"CR222192","X2010",0
"CR222192","X2012",0
"CR222193","X2005",0
"CR222193","X2010",0
"CR222193","X2012",0
"CR222194","X2005",0
"CR222194","X2010",0
"CR222194","X2012",0
"CR222195","X2005",0
"CR222195","X2010",0
"CR222195","X2012",0
"CR222196","X2005",0
"CR222196","X2010",0
"CR222196","X2012",0
"CR222197","X2005",0
"CR222197","X2010",0
"CR222197","X2012",0
"CR222198","X2005",0
"CR222198","X2010",0
"CR222198","X2012",0
"CR222199","X2005",0
"CR222199","X2010",0
"CR222199","X2012",0
"CR222200","X2005",0
"CR222200","X2010",0
"CR222200","X2012",0
"CR222201","X2005",0.039424005895853
"CR222201","X2010",0.110034003853798
"CR222201","X2012",0
"CR222202","X2005",0
"CR222202","X2010",0
"CR222202","X2012",0
"CR223177","X2005",0
"CR223177","X2010",0
"CR223177","X2012",0
"CR223178","X2005",0
"CR223178","X2010",0
"CR223178","X2012",0
"CR223179","X2005",0
"CR223179","X2010",0
"CR223179","X2012",0
"CR223180","X2005",0
"CR223180","X2010",0
"CR223180","X2012",0
"CR223181","X2005",0
"CR223181","X2010",0
"CR223181","X2012",0
"CR223182","X2005",0
"CR223182","X2010",0
"CR223182","X2012",0
"CR223183","X2005",0
"CR223183","X2010",0
"CR223183","X2012",0
"CR223184","X2005",0
"CR223184","X2010",0
"CR223184","X2012",0
"CR223185","X2005",0
"CR223185","X2010",0
"CR223185","X2012",0
"CR223186","X2005",0
"CR223186","X2010",0
"CR223186","X2012",0
"CR223187","X2005",0
"CR223187","X2010",0
"CR223187","X2012",0
"CR223188","X2005",0
"CR223188","X2010",0
"CR223188","X2012",0
"CR223189","X2005",0
"CR223189","X2010",0
"CR223189","X2012",0
"CR223190","X2005",0
"CR223190","X2010",0
"CR223190","X2012",0
"CR223191","X2005",0
"CR223191","X2010",0
"CR223191","X2012",0
"CR223192","X2005",0
"CR223192","X2010",0
"CR223192","X2012",0
"CR223193","X2005",0
"CR223193","X2010",0
"CR223193","X2012",0
"CR223194","X2005",0
"CR223194","X2010",0
"CR223194","X2012",0
"CR223195","X2005",0
"CR223195","X2010",0
"CR223195","X2012",0
"CR223196","X2005",0
"CR223196","X2010",0
"CR223196","X2012",0
"CR223197","X2005",0
"CR223197","X2010",0
"CR223197","X2012",0
"CR223198","X2005",0
"CR223198","X2010",0
"CR223198","X2012",0
"CR223199","X2005",0.00711433356627822
"CR223199","X2010",0.0638200342655182
"CR223199","X2012",0
"CR223200","X2005",1.29327547550201
"CR223200","X2010",2.73200130462646
"CR223200","X2012",0
"CR223201","X2005",0.226499602198601
"CR223201","X2010",0.585240840911865
"CR223201","X2012",0
"CR223202","X2005",0
"CR223202","X2010",0
"CR223202","X2012",0
"CR223203","X2005",0
"CR223203","X2010",0
"CR223203","X2012",0
"CR224177","X2005",0
"CR224177","X2010",0
"CR224177","X2012",0
"CR224178","X2005",0
"CR224178","X2010",0
"CR224178","X2012",0
"CR224179","X2005",0
"CR224179","X2010",0
"CR224179","X2012",0
"CR224180","X2005",0
"CR224180","X2010",0
"CR224180","X2012",0
