"Year","area"
"2000",13.6936720103053
"2001",13.9860976386887
"2002",16.3433242600399
"2003",18.3315738692475
"2004",21.1605071228427
"2005",22.6391367505533
"2006",21.6277905259693
"2007",20.5670121588578
"2008",21.2243314084264
"2009",21.7361244574531
"2010",23.2529375488866
"2011",23.8316893141761
"2012",24.8087627716594
