"","ID","Scenario","npvfb","agb_hist","lp_hist","land_prices","carbon_prices","crv","crv_cp"
"1","CR238207","IDC3",708.959384996665,420.50803456566,389.23115395703,389.23115395703,420.50803456566,708.959384996665,1129.46741956232
"2","CR238207","IDC3NoFC",531.741461184615,420.50803456566,389.23115395703,389.23115395703,420.50803456566,531.741461184615,952.249495750275
"3","CR238207","IDC3ZD",709.044064937112,420.50803456566,389.23115395703,389.23115395703,420.50803456566,709.044064937112,1129.55209950277
"4","CR239205","IDC3",314.453238614806,799.606163071867,389.23115395703,389.23115395703,799.606163071867,314.453238614806,1114.05940168667
"5","CR239205","IDC3NoFC",323.893949486404,799.606163071867,389.23115395703,389.23115395703,799.606163071867,323.893949486404,1123.50011255827
"6","CR239205","IDC3ZD",283.227916709355,799.606163071867,389.23115395703,389.23115395703,799.606163071867,283.227916709355,1082.83407978122
"7","CR239206","IDC3",443.718150333636,615.305118303094,389.23115395703,389.23115395703,615.305118303094,443.718150333636,1059.02326863673
"8","CR239206","IDC3NoFC",246.610342249062,615.305118303094,389.23115395703,389.23115395703,615.305118303094,246.610342249062,861.915460552156
"9","CR239206","IDC3ZD",435.356550110758,615.305118303094,389.23115395703,389.23115395703,615.305118303094,435.356550110758,1050.66166841385
"10","CR240204","IDC3",36.2842239103836,1149.31882691383,389.23115395703,389.23115395703,1149.31882691383,36.2842239103836,1185.60305082421
"11","CR240204","IDC3NoFC",33.996411423877,1149.31882691383,389.23115395703,389.23115395703,1149.31882691383,33.996411423877,1183.31523833771
"12","CR240204","IDC3ZD",36.2047466170302,1149.31882691383,389.23115395703,389.23115395703,1149.31882691383,36.2047466170302,1185.52357353086
"13","CR240205","IDC3",173.392772866191,903.645211303317,389.23115395703,389.23115395703,903.645211303317,173.392772866191,1077.03798416951
"14","CR240205","IDC3NoFC",173.233497478778,903.645211303317,389.23115395703,389.23115395703,903.645211303317,173.233497478778,1076.87870878209
"15","CR240205","IDC3ZD",173.456219951698,903.645211303317,389.23115395703,389.23115395703,903.645211303317,173.456219951698,1077.10143125501
"16","CR240206","IDC3",515.779553201674,638.383494285598,389.23115395703,389.23115395703,638.383494285598,515.779553201674,1154.16304748727
"17","CR240206","IDC3NoFC",503.300693276983,638.383494285598,389.23115395703,389.23115395703,638.383494285598,503.300693276983,1141.68418756258
"18","CR240206","IDC3ZD",515.848926537366,638.383494285598,389.23115395703,389.23115395703,638.383494285598,515.848926537366,1154.23242082296
"19","CR240207","IDC3",404.774046547525,611.071716800552,528.449450454328,528.449450454328,611.071716800552,404.774046547525,1015.84576334808
"20","CR240207","IDC3NoFC",227.96962401444,611.071716800552,528.449450454328,528.449450454328,611.071716800552,227.96962401444,839.041340814992
"21","CR240207","IDC3ZD",389.899548329017,611.071716800552,528.449450454328,528.449450454328,611.071716800552,389.899548329017,1000.97126512957
"22","CR240208","IDC3",56.2517268467972,843.523902058676,528.449450454328,528.449450454328,843.523902058676,56.2517268467972,899.775628905473
"23","CR240208","IDC3NoFC",56.8308955210531,843.523902058676,528.449450454328,528.449450454328,843.523902058676,56.8308955210531,900.354797579729
"24","CR240208","IDC3ZD",56.2593880646169,843.523902058676,528.449450454328,528.449450454328,843.523902058676,56.2593880646169,899.783290123293
"25","CR241208","IDC3",63.7887784807017,588.222890126032,528.449450454328,528.449450454328,588.222890126032,63.7887784807017,652.011668606734
"26","CR241208","IDC3NoFC",72.2567145247056,588.222890126032,528.449450454328,528.449450454328,588.222890126032,72.2567145247056,660.479604650738
"27","CR241208","IDC3ZD",60.8832185297755,588.222890126032,528.449450454328,528.449450454328,588.222890126032,60.8832185297755,649.106108655807
"28","CR241209","IDC3",58.3960344414485,640.398818068809,528.449450454328,528.449450454328,640.398818068809,58.3960344414485,698.794852510257
"29","CR241209","IDC3NoFC",58.2426995486781,640.398818068809,528.449450454328,528.449450454328,640.398818068809,58.2426995486781,698.641517617487
"30","CR241209","IDC3ZD",58.3960344414485,640.398818068809,528.449450454328,528.449450454328,640.398818068809,58.3960344414485,698.794852510257
"31","CR242206","IDC3",20.3371388144228,711.086855361197,528.449450454328,528.449450454328,711.086855361197,20.3371388144228,731.42399417562
"32","CR242206","IDC3NoFC",20.3373996398506,711.086855361197,528.449450454328,528.449450454328,711.086855361197,20.3373996398506,731.424255001048
"33","CR242206","IDC3ZD",20.6570148570936,711.086855361197,528.449450454328,528.449450454328,711.086855361197,20.6570148570936,731.743870218291
"34","CR242207","IDC3",117.48138444732,587.600320497983,622.421800590005,622.421800590005,587.600320497983,117.48138444732,705.081704945303
"35","CR242207","IDC3NoFC",116.957313273604,587.600320497983,622.421800590005,622.421800590005,587.600320497983,116.957313273604,704.557633771587
"36","CR242207","IDC3ZD",129.353036939242,587.600320497983,622.421800590005,622.421800590005,587.600320497983,129.353036939242,716.953357437225
"37","CR242208","IDC3",294.68273569507,328.7741476136,622.421800590005,622.421800590005,328.7741476136,294.68273569507,623.45688330867
"38","CR242208","IDC3NoFC",294.645809837304,328.7741476136,622.421800590005,622.421800590005,328.7741476136,294.645809837304,623.419957450904
"39","CR242208","IDC3ZD",246.899397552978,328.7741476136,622.421800590005,622.421800590005,328.7741476136,246.899397552978,575.673545166578
"40","CR242209","IDC3",220.199749147373,246.855931173682,622.421800590005,622.421800590005,246.855931173682,220.199749147373,467.055680321055
"41","CR242209","IDC3NoFC",220.128044548672,246.855931173682,622.421800590005,622.421800590005,246.855931173682,220.128044548672,466.983975722354
