"","ID","Produ"
"197","CR250210",2.81561335187761
"198","CR250211",3.43367260494245
"199","CR250212",3.30576263347077
"200","CR250213",3.33149583818133
"201","CR250214",3.19731748466258
"202","CR250215",3.19605937838256
"203","CR250216",3.19788729329852
"204","CR250217",3.17624600638978
"205","CR250218",3.11491468777485
"206","CR250219",2.98737387964149
"207","CR250220",2.59661904761905
"208","CR250221",2.3724
"209","CR250222",1.91625510641337
"210","CR250223",1.80799325463744
"211","CR250224",1.865
"212","CR250225",1.77355368697216
"213","CR250226",1.878
"214","CR250227",1.8466958897201
"215","CR250228",1.93852611940299
"216","CR250236",1.43893259540724
"217","CR250237",2.053
"218","CR250238",1.9025821414914
"219","CR250239",1.82785876610386
"220","CR250240",2.04552077698549
"221","CR250241",1.92582518796992
"222","CR250242",1.87218248175182
"223","CR250243",1.9445
"224","CR251185",1.802
"225","CR251186",1.695
"226","CR251187",1.796
"227","CR251190",1.34
"228","CR251191",1.361
"229","CR251192",1.333
"230","CR251193",2.124
"231","CR251194",2.663
"232","CR251195",2.636
"233","CR251196",2.534
"234","CR251197",2.741
"235","CR251198",2.336
"236","CR251201",2.92935714285714
"237","CR251203",2.89191803278689
"238","CR251204",3.41919192422732
"239","CR251205",3.06562340425532
"240","CR251206",3.39864065732695
"241","CR251207",3.393811916844
"242","CR251208",3.44574285080913
"243","CR251209",3.3818
"244","CR251210",3.53814639769452
"245","CR251211",3.47399529887097
"246","CR251212",2.95870089668503
"247","CR251213",3.22070876494199
"248","CR251214",3.30283415726865
"249","CR251215",3.32822164476519
"250","CR251216",3.29566582251391
"251","CR251217",2.77708694325808
"252","CR251218",2.82535140905209
"253","CR251219",2.80983070002499
"254","CR251220",2.76554103852596
"255","CR251221",2.14254493801653
"256","CR251222",1.76887998937371
"257","CR251223",1.874
"258","CR251224",1.79856127943943
"259","CR251225",1.857
"260","CR251226",1.86540896717793
"261","CR251227",1.88002943969611
"262","CR251228",1.93626553302812
"263","CR251231",1.771
"264","CR251232",1.64800753768844
"265","CR251236",1.52069812721631
"266","CR251237",1.69811051026973
"267","CR251238",1.946
"268","CR251239",1.84576449771151
"269","CR251240",1.96593813090199
"270","CR251241",1.98030466830467
"271","CR251242",1.92468284347232
"272","CR251243",1.93981454545455
"273","CR252185",1.903
"274","CR252186",1.6958
"275","CR252187",1.4278
"276","CR252189",1.344
"277","CR252190",1.328
"278","CR252191",1.363
"279","CR252192",1.406
"280","CR252193",1.356
"281","CR252194",1.98
"282","CR252195",1.194
"283","CR252196",1.64633333333333
"284","CR252197",2.126
"285","CR252198",1.213
"286","CR252199",2.247
"287","CR252200",2.3616
"288","CR252201",2.858
"289","CR252204",3.409
"290","CR252205",3.28540903291656
"291","CR252206",3.381
"292","CR252207",3.34982047402925
"293","CR252208",3.44885166872682
"294","CR252209",3.53400532623169
"295","CR252210",3.57201987169754
"296","CR252211",3.5318823018591
"297","CR252212",2.82613770836499
"298","CR252213",3.19140354991738
"299","CR252214",3.07451901882881
"300","CR252215",3.27244558288384
"301","CR252216",3.15850158665165
"302","CR252217",2.75863755315669
"303","CR252218",3.12308197408403
"304","CR252219",2.93578771250269
"305","CR252220",2.34570940985795
"306","CR252221",1.91777101919438
"307","CR252222",1.73897760467381
"308","CR252223",1.84417867231638
"309","CR252224",1.846
"310","CR252225",1.846
"311","CR252226",1.859
"312","CR252227",1.908
"313","CR252228",1.9089045045045
"314","CR252229",1.8933502267879
"315","CR252230",1.78360627823677
"316","CR252231",1.61825323174575
"317","CR252232",2.28486974342159
"318","CR252235",1.50690159956579
"319","CR252236",1.6234313878667
"320","CR252237",1.83275786379226
"321","CR252238",2.19203404123843
"322","CR252239",1.94045215222231
"323","CR252240",1.93382282653482
"324","CR252241",1.8803600862482
"325","CR252242",2.12753109277521
"326","CR252243",2.04562166405024
"327","CR252244",2.11
"328","CR253187",1.386
"329","CR253188",1.853
"330","CR253189",2.491
"331","CR253190",1.338
"332","CR253191",1.824
"333","CR253192",1.39
"334","CR253193",1.401
"335","CR253195",1.329
"336","CR253200",2.3943
"337","CR253203",2.671
"338","CR253204",1.65520707070707
"339","CR253205",1.13281153153153
"340","CR253206",2.32506269349845
"341","CR253207",3.33752984084881
"342","CR253208",3.46920245979186
"343","CR253209",3.574
"344","CR253210",3.57008683827101
"345","CR253211",3.573
"346","CR253212",3.14216860306551
"347","CR253213",2.83745607833771
"348","CR253214",2.83371857162553
"349","CR253215",3.0693033119247
"350","CR253216",2.82138725268086
"351","CR253217",2.83649620132953
"352","CR253218",2.69991252835896
"353","CR253219",2.24409127002662
"354","CR253220",2.23847655703289
"355","CR253221",2.23350323508267
"356","CR253222",1.60843129467832
"357","CR253223",1.50770554493308
"358","CR253224",1.84007020768241
"359","CR253225",1.73141199226306
"360","CR253226",1.861
"361","CR253227",1.58259649122807
"362","CR253228",1.93938611764706
"363","CR253229",1.89934118017589
"364","CR253230",2.21241327265473
"365","CR253231",2.30416432888328
"366","CR253232",2.04375996023409
"367","CR253233",2.14290441767068
"368","CR253234",1.76174229808493
"369","CR253235",1.57119846338687
"370","CR253236",1.48295152552802
"371","CR253237",1.80098269819299
"372","CR253238",2.3501224677959
"373","CR253239",1.93928405856682
"374","CR253240",1.88835114819098
"375","CR253241",1.82378718842133
"376","CR253242",1.6364649122807
"377","CR253243",1.9467362804878
"378","CR253244",2.12826984126984
"379","CR253245",1.96682470119522
"380","CR254188",1.9
"381","CR254189",1.766
"382","CR254190",1.626
"383","CR254191",1.521
"384","CR254192",1.415
"385","CR254193",1.413
"386","CR254195",1.374
"387","CR254196",1.3105
"388","CR254197",2.299
"389","CR254198",1.2465
"390","CR254199",1.162
"391","CR254201",1.392625
"392","CR254202",1.29206666666667
"393","CR254203",1.61526712328767
"394","CR254204",1.76140365448505
"395","CR254205",1.45890937178167
"396","CR254206",1.34596320630749
"397","CR254207",3.19595434047351
"398","CR254208",3.23203502974223
"399","CR254209",3.28416384180791
"400","CR254210",3.27962526245994
"401","CR254211",3.28439535740604
"402","CR254212",2.59705192982456
"403","CR254213",2.56428004975124
"404","CR254214",2.99084655919261
"405","CR254215",2.88337720302129
"406","CR254216",2.7758390123151
"407","CR254217",2.8675881289545
"408","CR254218",2.78027773958974
"409","CR254219",2.52169154196487
"410","CR254220",2.48148220349642
"411","CR254221",2.00548282370706
"412","CR254222",1.75825440528634
"413","CR254223",1.50403357817419
"414","CR254224",1.6870704879938
"415","CR254225",1.86157887840671
"416","CR254226",1.9057374301676
"417","CR254227",1.92643392455658
"418","CR254228",1.95350738174149
"419","CR254229",1.5789024545446
"420","CR254230",2.39620611940188
"421","CR254231",2.38331688201652
"422","CR254232",2.19097433264887
"423","CR254233",1.93577152673395
"424","CR254234",1.55901735948203
"425","CR254235",1.55096534237445
"426","CR254236",2.19634067994045
"427","CR254237",2.3734097044563
"428","CR254238",2.37322066938673
"429","CR254239",2.16247619856037
"430","CR254240",1.76046578771696
"431","CR254241",1.58432596872876
"432","CR254242",1.83969331930563
"433","CR254243",1.83985610602714
"434","CR254244",1.86877383766745
"435","CR254245",1.86032646276596
"436","CR254246",1.88991220556745
"437","CR255189",1.997
"438","CR255190",1.76
"439","CR255191",1.774
"440","CR255201",3.10643396226415
"441","CR255202",2.8170303030303
"442","CR255203",3.15808
"443","CR255204",3.1487712197864
"444","CR255205",3.1440481878089
"445","CR255206",3.10366243654822
"446","CR255207",3.25070367862785
"447","CR255208",3.26684623323013
"448","CR255209",3.17083122362869
