"year" "Scenario" "agb_base" "agb_incp" "lp_const" "lp_trend"
"1" 2020 "IDC3" "340 (416)" "396 (485)" "3295 (2305)" "2648 (2204)"
"2" 2025 "IDC3" "344 (414)" "440 (528)" "3264 (2306)" "2939 (2669)"
"3" 2030 "IDC3" "307 (391)" "426 (543)" "3390 (2386)" "3435 (3197)"
"4" 2035 "IDC3" "301 (402)" "460 (614)" "3509 (2489)" "4045 (3791)"
"5" 2040 "IDC3" "298 (401)" "496 (669)" "3567 (2567)" "4554 (4401)"
"6" 2045 "IDC3" "309 (410)" "549 (728)" "3486 (2479)" "4814 (4643)"
"7" 2050 "IDC3" "313 (416)" "600 (797)" "3462 (2531)" "5288 (5136)"
