"","ID","Country","area_km2","Year","dEDD","Floss","soyarea","fbiomass","Forarea","Prices","Y0","dy","lprod","CRV","areasoyp"
"2013","CR258205","Brazil",3009,"X2012",3.9447820186615,-339.18675608939,11019.4501953125,38.1941223144531,0.724154495879059,537.8,2.730060338974,-0.0195306663714191,-587.555956621209,9.31603571772744,0.0366216357438102
"2014","CR258206","Brazil",3003,"X2005",9.97858810424805,-27.60904143051,4698.32177734375,13.5376253128052,0.89242631083962,223.1,2.77034735679626,-0.0486687319213551,-633.47140275971,51.1888362047637,0.0156454271639819
"2015","CR258206","Brazil",3003,"X2010",10.3390951156616,-58.2341356851897,5179.07421875,13.5376253128052,0.882228144254645,385,2.77034735679626,-0.0503819953104063,-722.872534149493,47.7908570931764,0.0172463343947719
"2016","CR258206","Brazil",3003,"X2012",10.4488000869751,-67.5418138067198,10905.3115234375,13.5376253128052,0.879128684340716,537.8,2.77034735679626,-0.0509027415560358,-1537.84822508113,122.450779574171,0.0363147236877706
"2017","CR258207","Brazil",2997,"X2005",5.83652448654175,-34.6629641387095,3955.55126953125,12.1474409103394,0.903022362092135,223.1,2.75725317001343,-0.028760921773463,-313.679735810381,20.1892569773467,0.0131983692677052
"2018","CR258207","Brazil",2997,"X2010",5.81726884841919,-32.84369751577,4005.99780273438,12.1474409103394,0.903629391329019,385,2.75725317001343,-0.0286674081307691,-316.647293911064,37.1179913885228,0.0133666927018164
"2019","CR258207","Brazil",2997,"X2012",5.68943214416504,-20.8065634057398,6846.638671875,12.1474409103394,0.907645785760127,537.8,2.75725317001343,-0.0280463498804181,-529.456642252565,136.851904204843,0.0228449738801301
"2020","CR258208","Brazil",2991,"X2005",0.561038076877594,-57.4356437095799,2208.79150390625,17.2125301361084,0.875374687049318,223.1,2.66936874389648,-0.00280125951431365,-16.5164474023699,0.64155621448256,0.00738479272452775
"2021","CR258208","Brazil",2991,"X2010",1.50441956520081,-153.44428956366,1886.33508300781,17.2125301361084,0.843275507559488,385,2.66936874389648,-0.00749387765079024,-37.7341013218553,0.946768957660502,0.00630670372118961
"2022","CR258208","Brazil",2991,"X2012",1.1129834651947,-113.71530837275,1982.66723632812,17.2125301361084,0.856558349816563,537.8,2.66936874389648,-0.00554946185631167,-29.3703601143213,1.38902843385923,0.00662877711911777
"2023","CR258209","Brazil",2985,"X2005",0.370397388935089,-37.6869275246501,2244.85034179688,8.20332050323486,0.715396418568519,223.1,2.73285365104675,-0.00185027307503849,-11.3511430610756,0.671967757326344,0.00752043665593593
"2024","CR258209","Brazil",2985,"X2010",1.01209115982056,-102.82180352555,1820.1416015625,8.20332050323486,0.693575689589993,385,2.73285365104675,-0.00504767326356381,-25.1080385300318,0.940130838267215,0.00609762680590452
"2025","CR258209","Brazil",2985,"X2012",0.888609230518341,-90.3200794976201,1873.66833496094,8.20332050323486,0.697763871843906,537.8,2.73285365104675,-0.00443319042492174,-22.6999802282177,1.35164289431977,0.00627694584576528
"2026","CR258210","Brazil",2978,"X2005",3.07510161399841,-69.89460971926,2007.49890136719,12.5892734527588,0.657828370685752,223.1,2.70244669914246,-0.0152579084352964,-82.7765759050415,2.64218573629519,0.00674109772117927
"2027","CR258210","Brazil",2978,"X2010",4.1424994468689,-173.26859025842,1550.7958984375,12.5892734527588,0.62311581845635,385,2.70244669914246,-0.0204994667961033,-85.9121021366341,1.90895298872536,0.00520750805385326
"2028","CR258210","Brazil",2978,"X2012",4.22541952133179,-181.25568670734,1735.75329589844,12.5892734527588,0.620433784726021,537.8,2.70244669914246,-0.0209054839086128,-98.0630418020892,2.90960823570276,0.00582858729314452
"2029","CR258211","Brazil",2972,"X2005",2.90727806091309,-48.2855503547261,1636.81298828125,18.3181133270264,0.30303841124549,223.1,2.58989667892456,-0.0144312470672867,-61.1766037561656,2.82662208419142,0.00550744612476867
"2030","CR258211","Brazil",2972,"X2010",2.98153257369995,-55.3758919783371,432.755401611328,18.3181133270264,0.300652697374827,385,2.58989667892456,-0.0147970937864944,-16.5844610456132,1.1530319918023,0.00145610834997082
"2031","CR258211","Brazil",2972,"X2012",3.21196722984314,-77.3560845230731,2140.76098632812,18.3181133270264,0.293256939452641,537.8,2.58989667892456,-0.0159315645721527,-88.3301663532326,6.14094725161528,0.00720309887728171
"2032","CR258212","Brazil",2965,"X2005",2.84451746940613,-41.5105358970361,2162.51928710938,12.1658182144165,0.230653111178496,223.1,2.62003970146179,-0.0141219241470772,-80.0132177888685,4.30034170914453,0.00729348832077361
"2033","CR258212","Brazil",2965,"X2010",2.76430463790894,-33.8759773694791,840.606872558594,12.1658182144165,0.233228004442428,385,2.62003970146179,-0.0137264444861441,-30.2314422526652,3.43579910339724,0.00283509906427856
"2034","CR258212","Brazil",2965,"X2012",2.59515142440796,-17.762293758388,2779.75415039062,12.1658182144165,0.238662636351733,537.8,2.62003970146179,-0.0128919349294252,-93.8928159796327,28.4285110474544,0.00937522479052487
"2035","CR258213","Brazil",2957,"X2005",4.40246772766113,-65.036860573413,4857.6904296875,11.6785516738892,0.323200624186154,223.1,2.60983633995056,-0.0217718350267619,-276.018469603251,9.46843375057666,0.0164277660794302
"2036","CR258213","Brazil",2957,"X2010",4.61842775344849,-86.2299564894659,2952.28881835938,11.6785516738892,0.31603353053852,385,2.60983633995056,-0.0228275558391169,-175.886104169983,7.85297277909632,0.00998406769820553
"2037","CR258213","Brazil",2957,"X2012",4.61739301681519,-86.1284117516969,5386.85546875,11.6785516738892,0.316067870997691,537.8,2.60983633995056,-0.0228225002454138,-320.857221158573,20.0348537758425,0.0182172995223199
"2038","CR258214","Brazil",2950,"X2005",8.28066349029541,-119.78534744958,39813.40625,8.58719444274902,0.291377998241513,223.1,2.80977439880371,-0.0405579078359524,-4537.07888713257,84.50301487378,0.134960699152542
"2039","CR258214","Brazil",2950,"X2010",8.768479347229,-170.21022818126,35665.06640625,8.58719444274902,0.274284818332469,385,2.80977439880371,-0.0428952115744836,-4298.56306139803,97.2295728830032,0.120898530190678
"2040","CR258214","Brazil",2950,"X2012",8.61830139160156,-154.715104409682,36550.91015625,8.58719444274902,0.279537402661818,537.8,2.80977439880371,-0.0421762614798911,-4331.49410839916,150.565618036146,0.123901390360169
"2041","CR258215","Brazil",2942,"X2005",5.33389616012573,-18.4435119556509,65757.921875,14.4226102828979,0.232663603901354,223.1,2.9243323802948,-0.026316990725135,-5060.70521406413,612.162876556587,0.2235143503569
"2042","CR258215","Brazil",2942,"X2010",5.40664052963257,-27.3573484620069,59628.8125,14.4226102828979,0.229633747848887,385,2.9243323802948,-0.0266710761099824,-4650.75468612286,654.50076663824,0.202681211760707
"2043","CR258215","Brazil",2942,"X2012",5.24993276596069,-8.13468515198195,60300.3671875,14.4226102828979,0.236167623889004,537.8,2.9243323802948,-0.0259081362576202,-4568.59712640069,3020.38922057071,0.204963858557104
"2044","CR258217","Brazil",2926,"X2005",0.208078488707542,-27.373895073935,49469.1171875,8.0997838973999,0.202383474938595,223.1,2.79996943473816,-0.00103985142296026,-144.0319170267,11.7387462039532,0.169067386150034
"2045","CR258217","Brazil",2926,"X2010",0.0434201769530773,-5.69590821837902,43349.05078125,8.0997838973999,0.209792219591895,385,2.79996943473816,-0.000217077320073589,-26.3479805376762,17.8092274631002,0.148151233018626
"2046","CR258218","Brazil",2918,"X2010",3.66607975959778,-1.301615785469,4509.18212890625,10.1249895095825,0.17855274082341,385,2.52175211906433,-0.0181634188641235,-206.536954972202,610.907831266402,0.015452988789946
"2047","CR258218","Brazil",2918,"X2012",3.68556475639343,-3.39124732456899,4418.12548828125,10.1249895095825,0.177836623092395,537.8,2.52175211906433,-0.0182590696178477,-203.431914347973,322.611927309799,0.015140937245652
"2048","CR259187","Brazil",3072,"X2005",6.89476776123047,-109.85543031246,4.59817409515381,382.626190185547,0.936804738435824,223.1,0.337065130472183,-0.0338863859585777,-0.0525199725426048,0.0010666023373563,1.49680146326621e-05
"2049","CR259187","Brazil",3072,"X2010",10.8874492645264,-300.06351121081,6.40780305862427,382.626190185547,0.874888045435059,385,0.337065130472183,-0.0529820641488175,-0.114433150927845,0.00146824793622668,2.08587339147925e-05
"2050","CR259187","Brazil",3072,"X2012",11.5646343231201,-331.85223448096,8.10354232788086,382.626190185547,0.864540153745557,537.8,0.337065130472183,-0.0561831737135338,-0.153459931542817,0.00248697289360763,2.63787185152372e-05
"2051","CR259188","Brazil",3071,"X2005",8.42681980133057,-251.89616142538,33.0635261535645,194.417327880859,0.616797669115272,223.1,1.70212614536285,-0.0412587942915262,-2.32197448606896,0.0205653196503926,0.000107663712645928
"2052","CR259188","Brazil",3071,"X2010",13.4779253005981,-485.0381292363,33.0111274719238,194.417327880859,0.540880388812139,385,1.70212614536285,-0.0651691045229162,-3.66179353674399,0.0290655605543047,0.000107493088479075
"2053","CR259188","Brazil",3071,"X2012",12.4834756851196,-439.68152148669,40.6972351074219,194.417327880859,0.555649717288079,537.8,1.70212614536285,-0.0605093181938033,-4.19159107749714,0.0512697844079446,0.000132521117249827
"2054","CR259189","Brazil",3069,"X2005",9.58247852325439,-306.80912817285,5.6335129737854,301.044677734375,0.79118918066566,223.1,0.518241167068481,-0.0467827077072833,-0.136582973063467,0.000993179748983619,1.83561843394767e-05
"2055","CR259189","Brazil",3069,"X2010",18.4099655151367,-707.91582365863,8.45579147338867,301.044677734375,0.660492961869381,385,0.518241167068481,-0.0879402973110173,-0.385366627769562,0.00209581629245833,2.75522693821723e-05
"2056","CR259189","Brazil",3069,"X2012",18.5263156890869,-713.06680506477,10.7264347076416,301.044677734375,0.658814571056041,537.8,0.518241167068481,-0.0884707345302047,-0.49179820042548,0.00370917662006155,3.49509113966817e-05
"2057","CR259190","Brazil",3067,"X2005",10.305983543396,-430.52641098757,1.78797972202301,269.978515625,0.802732435800368,223.1,0.215367391705513,-0.0502247655695206,-0.0193401775040443,0.000100221345102957,5.82973499192374e-06
"2058","CR259190","Brazil",3067,"X2010",25.0898704528809,-1102.86623854676,3.10720825195312,269.978515625,0.583515015663691,385,0.215367391705513,-0.117899560314489,-0.0788973643642552,0.000275423113144381,1.01310996151064e-05
"2059","CR259190","Brazil",3067,"X2012",26.2845993041992,-1154.803197269,4.23441791534424,269.978515625,0.566580891528627,537.8,0.215367391705513,-0.123153207208185,-0.112310249806262,0.000523036760624225,1.38063838126646e-05
"2060","CR259191","Brazil",3065,"X2005",15.1780519485474,-632.83747637851,1.26586306095123,199.678939819336,0.640649537842705,223.1,0.258066177368164,-0.0730820788106815,-0.0238741934221934,8.41658838375366e-05,4.13005892643143e-06
"2061","CR259191","Brazil",3065,"X2010",25.6072978973389,-1106.61582374781,1.44658470153809,199.678939819336,0.486072589271971,385,0.258066177368164,-0.12017872566778,-0.0448644709981709,0.000156086881857494,4.71968907516504e-06
"2062","CR259191","Brazil",3065,"X2012",27.0020065307617,-1167.90495231207,23.0572357177734,199.678939819336,0.46607613623306,537.8,0.258066177368164,-0.126292853957263,-0.751479444736577,0.00346043267116263,7.52275227333554e-05
"2063","CR259192","Brazil",3062,"X2012",4.51129627227783,-127.63546695056,2.97782015800476,251.222137451172,0.945217193978939,537.8,0.0442399494349957,-0.0223039859680859,-0.00293829618063907,0.000123806942043765,9.72508216200118e-06
"2064","CR259194","Brazil",3056,"X2012",7.15038728713989,-199.72925278706,27.1365127563477,134.145050048828,0.575146872176747,537.8,0.0559817031025887,-0.0351203847251266,-0.0533530692513188,0.00143660882134028,8.87974893859544e-05
"2065","CR259195","Brazil",3053,"X2012",10.9612112045288,-488.18228985339,161.777587890625,124.191947937012,0.492871173384062,537.8,0.304439216852188,-0.0533312691505906,-2.62664191797812,0.0289360768067368,0.000529897110680069
"2066","CR259196","Brazil",3050,"X2005",4.35916185379028,-244.84505051094,5.07984638214111,104.220649719238,0.457309466996528,223.1,0.462395906448364,-0.0215599969653625,-0.0506422805907933,0.000461446648655092,1.66552340398069e-05
"2067","CR259196","Brazil",3050,"X2010",7.05244541168213,-391.91073796798,5.62175035476685,104.220649719238,0.409091208813892,385,0.462395906448364,-0.0346477584142486,-0.0900659593216008,0.000884777858310414,1.84319683762847e-05
"2068","CR259196","Brazil",3050,"X2012",7.38278436660767,-409.74513228602,186.893341064453,104.220649719238,0.403243866414534,537.8,0.462395906448364,-0.036240909605413,-3.13189286935968,0.0411068211047325,0.000612765052670338
"2069","CR259197","Brazil",3046,"X2005",10.8262615203857,-511.95473676739,440.535980224609,97.380485534668,0.414648974485075,223.1,1.27282190322876,-0.0526922903687906,-29.5458236463917,0.128755000825492,0.00144627701977876
"2070","CR259197","Brazil",3046,"X2010",15.368558883667,-745.279767572,372.057098388672,97.380485534668,0.338048504752768,385,1.27282190322876,-0.0739645798988777,-35.0268457530335,0.180943267235751,0.00122146125537975
"2071","CR259197","Brazil",3046,"X2012",16.0992908477783,-782.171805784849,633.512390136719,97.380485534668,0.325936870408431,537.8,1.27282190322876,-0.0773418248965698,-62.3644603264256,0.428801019360412,0.00207981743314747
"2072","CR259198","Brazil",3042,"X2005",16.5545215606689,-717.99668987605,1102.60717773438,95.0341873168945,0.402224415860431,223.1,2.53685641288757,-0.0794395483146155,-222.204816333732,0.690447396527883,0.00362461268157257
"2073","CR259198","Brazil",3042,"X2010",25.1506633758545,-1134.19348404385,964.826171875,95.0341873168945,0.265407586745439,385,2.53685641288757,-0.118167646888433,-289.230141242917,0.98178666995602,0.00317168366822814
"2074","CR259198","Brazil",3042,"X2012",25.9862365722656,-1173.54244440699,1354.94360351562,95.0341873168945,0.252472359801608,537.8,2.53685641288757,-0.121844138985113,-418.814538444404,1.91930389777438,0.004454120984601
"2075","CR259199","Brazil",3038,"X2005",16.1855697631836,-704.15340999091,910.46337890625,106.213050842285,0.500584382651728,223.1,2.46548104286194,-0.0777397687881686,-174.504806810826,0.552891200228624,0.00299691698125823
"2076","CR259199","Brazil",3038,"X2010",24.3610210418701,-1102.88767992717,805.954711914062,106.213050842285,0.369335445872182,385,2.46548104286194,-0.114679103879579,-227.874955526539,0.795474094728405,0.00265291215244919
"2077","CR259199","Brazil",3038,"X2012",25.5133857727051,-1157.53916039678,1143.91027832031,106.213050842285,0.3513461501284,537.8,2.46548104286194,-0.119765499232088,-337.773332750964,1.56931622331638,0.0037653399549714
"2078","CR259200","Brazil",3034,"X2005",13.0515985488892,-278.90947387524,2427.33032226562,95.1829299926758,0.496628896730066,223.1,2.17036533355713,-0.0631742620461607,-332.814242019466,2.662184843092,0.00800042953943845
"2079","CR259200","Brazil",3034,"X2010",13.5971117019653,-305.95503800665,2510.46997070312,95.1829299926758,0.487714735842983,385,2.17036533355713,-0.0657260342119144,-358.117301564692,4.5063863631953,0.00827445606691867
"2080","CR259200","Brazil",3034,"X2012",13.0346689224243,-278.04218671279,4953.97314453125,95.1829299926758,0.496914752749331,537.8,2.17036533355713,-0.0630949581407132,-678.392672736166,13.1217346443322,0.0163281909839527
"2081","CR259201","Brazil",2945,"X2005",33.7542266845703,-282.8599018299,5346.30712890625,95.9423065185547,0.568746996329341,223.1,2.2771213054657,-0.155297794632539,-1890.62483806175,14.9119192449281,0.0181538442407683
"2082","CR259201","Brazil",2945,"X2010",35.8719596862793,-368.2914121457,6153.48095703125,95.9423065185547,0.539737994524316,385,2.2771213054657,-0.164194876081531,-2300.73515179736,24.0511454850747,0.0208946721800722
"2083","CR259201","Brazil",2945,"X2012",35.5798416137695,-356.56304272731,13024.2705078125,95.9423065185547,0.543720462917657,537.8,2.2771213054657,-0.162973215216708,-4833.43417050186,72.902140306332,0.0442250271912139
"2084","CR259202","Brazil",3025,"X2005",7.33219242095947,-65.4400813468699,2147.08251953125,54.3823127746582,0.888470567173798,223.1,2.33383798599243,-0.0359970865304079,-180.379339523815,6.14953860378843,0.00709779345299587
