"","ID","Scenario","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"1","CR235194","IDC3",330.762861875424,6.4125,0.916234858681023,2972,2.15763795423957,91.6234858681023
"2","CR235194","IDC3NoFC",248.020699751072,6.4125,0.953045087483176,2972,2.15763795423957,95.3045087483176
"3","CR235194","IDC3ZD",212.895415366886,6.31666666666667,0.955063930013459,2972,2.12539255271422,95.5063930013459
"4","CR235195","IDC3",273.552773641499,4.64694444444444,0.618446601941748,2884,1.61128448143011,61.8446601941748
"5","CR235195","IDC3NoFC",272.068159196471,4.70833333333333,0.618446601941748,2884,1.63257050392973,61.8446601941748
"6","CR235195","IDC3ZD",273.546048780616,4.64694444444444,0.618446601941748,2884,1.61128448143011,61.8446601941748
"7","CR235197","IDC3",611.051849918432,9.32777777777778,0.242818450426789,3046,3.06230393229737,24.2818450426789
"8","CR235197","IDC3NoFC",611.052758614091,9.32777777777778,0.242818450426789,3046,3.06230393229737,24.2818450426789
"9","CR235197","IDC3ZD",390.25404544242,4.34166666666667,0.388390512147078,3046,1.42536660100678,38.8390512147078
"10","CR236193","IDC3",759.802125493896,3.71861111111111,0.723163248150639,2974,1.25037360830905,72.3163248150639
"11","CR236193","IDC3NoFC",759.706383292521,3.71861111111111,0.723259919300605,2974,1.25037360830905,72.3259919300605
"12","CR236193","IDC3ZD",543.356726572266,3.53944444444444,0.76492938802959,2974,1.19012926847493,76.492938802959
"13","CR236194","IDC3",524.003107445539,4.165,0.393717277486911,3056,1.36289267015707,39.3717277486911
"14","CR236194","IDC3NoFC",514.84613717651,4.165,0.393979057591623,3056,1.36289267015707,39.3979057591623
"15","CR236194","IDC3ZD",475.392023477304,4.165,0.428047284031413,3056,1.36289267015707,42.8047284031413
"16","CR236198","IDC3",742.571017530973,7.83416666666667,0.101577909270217,3042,2.57533420994959,10.1577909270217
"17","CR236198","IDC3NoFC",755.047688810351,7.83416666666667,0.0977851742274819,3042,2.57533420994959,9.77851742274819
"18","CR236198","IDC3ZD",642.641465898057,6.99777777777778,0.191522846811308,3042,2.30038717218204,19.1522846811308
"19","CR237193","IDC3",772.130780479765,2.58777777777778,0.549256052454607,2974,0.870133751774639,54.9256052454607
"20","CR237193","IDC3NoFC",772.130769100151,2.58777777777778,0.549256052454607,2974,0.870133751774639,54.9256052454607
"21","CR237193","IDC3ZD",591.287777337665,2.47388888888889,0.588857599193006,2974,0.831838900097138,58.8857599193006
"22","CR238207","IDC3",4327.8888467578,120.683611111111,0.0613836058280503,2997,40.2681385088793,6.13836058280503
"23","CR238207","IDC3NoFC",4315.21806415019,81.8725,0.065648982315649,2997,27.3181514848182,6.5648982315649
"24","CR238207","IDC3ZD",4279.94378195733,120.683611111111,0.064086308530753,2997,40.2681385088793,6.4086308530753
"25","CR239203","IDC3",492.752349979312,5.3875,0.00363824503311258,3020,1.78394039735099,0.363824503311258
"26","CR239203","IDC3NoFC",493.021020771888,5.3875,0.00343543046357616,3020,1.78394039735099,0.343543046357616
"27","CR239203","IDC3ZD",490.730477918239,5.38,0.0060182119205298,3020,1.78145695364238,0.60182119205298
"28","CR239205","IDC3",4555.6142720383,74.0658333333333,0.490628115653041,3009,24.6147668106791,49.0628115653041
"29","CR239205","IDC3NoFC",6839.39484549149,76.87,0.207664506480558,3009,25.5466932535726,20.7664506480558
"30","CR239205","IDC3ZD",4739.01335072914,65.1816666666667,0.490628115653041,3009,21.6622355156752,49.0628115653041
"31","CR239206","IDC3",5278.94781957688,95.7858333333333,0.0240949526663812,3003,31.8967143967144,2.40949526663812
