"","Year","max","mean","sd"
"1","X2005",9218.61380445732,48.6954050405905,405.68408103949
"2","X2010",10257.2369218749,67.7728897464048,469.561648957705
"3","X2012",36681.5086189621,96.8304122045501,1109.41568865217
