"","ID","Country","area_km2","Year","dEDD_luc","soyarea","Forarea","Y0","CD_Bioma","dyl","CRVln","areasoyp","Scenario"
"1","CR234196","Brazil",3050,"X2020",22.42844581604,4400,245500,1.27597246575356,1,-0.106082892549614,1.3046939058516,0.0144262295081967,"IDC3"
"2","CR234196","Brazil",3050,"X2025",22.42844581604,12110,245500,1.34429059612751,1,-0.106082892549614,3.78313603651051,0.0397049180327869,"IDC3"
"3","CR235194","Brazil",2972,"X2020",27.7152709960938,4800,283540,0.360781870961189,1,-0.129403225668474,0.425047541858099,0.0161507402422611,"IDC3"
"4","CR235194","Brazil",2972,"X2025",27.2689361572266,7200,279300,0.380098857462406,1,-0.127458167753007,0.671655528526141,0.0242261103633917,"IDC3"
"5","CR235194","Brazil",2972,"X2030",26.9957313537598,7200,276700,0.399415843963623,1,-0.126265440192253,0.705754930235939,0.0242261103633917,"IDC3"
"6","CR235194","Brazil",2972,"X2035",26.6233043670654,7200,273150,0.419030014872551,1,-0.124636912747514,0.740361633237174,0.0242261103633917,"IDC3"
"7","CR235194","Brazil",2972,"X2040",26.0945529937744,7200,268100,0.438644185781479,1,-0.122319603723854,0.77493436951144,0.0242261103633917,"IDC3"
"8","CR235194","Brazil",2972,"X2045",25.3461761474609,7200,260930,0.457366803467274,1,-0.119029273109735,0.807881570407384,0.0242261103633917,"IDC3"
"9","CR235194","Brazil",2972,"X2050",24.2874641418457,7200,250740,0.476089421153069,1,-0.114353436692351,0.84075106345648,0.0242261103633917,"IDC3"
"10","CR235195","Brazil",2884,"X2020",17.3502197265625,4330,178360,0.547607241988182,1,-0.0830947137871796,0.594092144387507,0.0150138696255201,"IDC3"
"11","CR235195","Brazil",2884,"X2025",17.3502197265625,4640,178360,0.576927234351635,1,-0.0830947137871796,0.670711498338537,0.0160887656033287,"IDC3"
"12","CR235195","Brazil",2884,"X2030",17.3502197265625,4910,178360,0.606247226715088,1,-0.0830947137871796,0.745809631378896,0.0170249653259362,"IDC3"
"13","CR235195","Brazil",2884,"X2035",17.3502197265625,5140,178360,0.636018295884132,1,-0.0830947137871796,0.819085915899193,0.0178224687933426,"IDC3"
"14","CR235195","Brazil",2884,"X2040",17.3502197265625,5140,178360,0.665789365053177,1,-0.0830947137871796,0.857426107707241,0.0178224687933426,"IDC3"
"15","CR235195","Brazil",2884,"X2045",17.3502197265625,5140,178360,0.694207203805447,1,-0.0830947137871796,0.894023563524013,0.0178224687933426,"IDC3"
"16","CR235195","Brazil",2884,"X2050",17.3502197265625,5140,178360,0.722625042557716,1,-0.0830947137871796,0.930621019340786,0.0178224687933426,"IDC3"
"17","CR235197","Brazil",3046,"X2025",9.47680568695068,3300,106400,0.566810365587473,1,-0.0462789287551748,0.437536402039719,0.0108338804990151,"IDC3"
"18","CR235197","Brazil",3046,"X2030",7.75784683227539,9080,87570,0.595616209030151,1,-0.0380465652958131,1.26366879493849,0.0298095863427446,"IDC3"
"19","CR235197","Brazil",3046,"X2035",5.23589372634888,14870,59580,0.624865219295025,1,-0.0258397572864075,2.16723521848006,0.0488181221273802,"IDC3"
"20","CR235197","Brazil",3046,"X2040",2.7828962802887,14870,31920,0.654114229559898,1,-0.0138181224511319,2.26449578945343,0.0488181221273802,"IDC3"
"21","CR235197","Brazil",3046,"X2045",2.7828962802887,14870,31920,0.682033739358187,1,-0.0138181224511319,2.36115109753985,0.0488181221273802,"IDC3"
"22","CR235197","Brazil",3046,"X2050",2.7828962802887,14510,31920,0.709953249156475,1,-0.0138181224511319,2.39830335881892,0.0476362442547603,"IDC3"
"23","CR236193","Brazil",2974,"X2025",21.4875183105469,4320,223000,0.809785180389881,1,-0.101867428238949,0.859418797147326,0.0145258910558171,"IDC3"
"24","CR236193","Brazil",2974,"X2030",21.1937084197998,4320,220130,0.850939235687256,1,-0.100547057467499,0.9030113840006,0.0145258910558171,"IDC3"
"25","CR236193","Brazil",2974,"X2035",20.7993087768555,4320,216270,0.892726430296898,1,-0.0987715878344927,0.947237085174779,0.0145258910558171,"IDC3"
"26","CR236193","Brazil",2974,"X2040",20.2253284454346,4320,210640,0.93451362490654,1,-0.0961814359581881,0.991381003624593,0.0145258910558171,"IDC3"
"27","CR236193","Brazil",2974,"X2045",19.4149551391602,4320,202660,0.97440140157938,1,-0.0925118544613709,1.03340793782253,0.0145258910558171,"IDC3"
"28","CR236193","Brazil",2974,"X2050",18.2743701934814,4320,191370,1.01428917825222,1,-0.0873217325047017,1.07526330095002,0.0145258910558171,"IDC3"
"29","CR236194","Brazil",3056,"X2020",11.8763008117676,4370,130510,0.449788155734539,1,-0.057652808707059,0.46696779516025,0.0142997382198953,"IDC3"
"30","CR236194","Brazil",3056,"X2025",11.6865835189819,4370,128500,0.473870717614889,1,-0.0567584868133169,0.491914686001923,0.0142997382198953,"IDC3"
"31","CR236194","Brazil",3056,"X2030",11.4237766265869,4370,125710,0.497953279495239,1,-0.0555182202609907,0.51684050360668,0.0142997382198953,"IDC3"
"32","CR236194","Brazil",3056,"X2035",11.0645713806152,4370,121890,0.522406342327595,1,-0.053820381986313,0.542112441563643,0.0142997382198953,"IDC3"
"33","CR236194","Brazil",3056,"X2040",10.5552635192871,4370,116460,0.54685940515995,1,-0.0514078278697119,0.567322997500906,0.0142997382198953,"IDC3"
"34","CR236194","Brazil",3056,"X2045",9.8356990814209,4370,108760,0.57020096513629,1,-0.0479888150922444,0.59129064885192,0.0142997382198953,"IDC3"
"35","CR236194","Brazil",3056,"X2050",8.817551612854,4370,97810,0.593542525112629,1,-0.0431300192689846,0.615106714937273,0.0142997382198953,"IDC3"
"36","CR236198","Brazil",3042,"X2025",3.19488406181335,4980,36550,0.950600299239159,1,-0.0158475059500588,1.10387940171854,0.016370808678501,"IDC3"
"37","CR236198","Brazil",3042,"X2035",1.32919561862946,4200,15300,1.04796436429024,1,-0.00662394242395548,1.02480614567589,0.0138067061143984,"IDC3"
